currencyservice-5b74f955c4-6l26r,cartservice-75d66997cf-srj9n,frontend-79c8999fb6-6bv4v,frontend-79c8999fb6-pg4nl,recommendationservice-6fdf94c549-hthp8,kubernetes-dashboard,paymentservice-7d679d5b98-klv4d,emailservice-95cc959f8-tsjvt,storage-provisioner,checkoutservice-855cd595b4-454tb,dashboard-metrics-scraper,shippingservice-749b654bb4-mwsxw,redis-cart,coredns,productcatalogservice-5f7d6665c6-b2xmt,frontend-79c8999fb6-942kx,adservice-75f6d84ddd-lmh2v,kube-proxy,kube-scheduler,kube-apiserver,etcd-minikube,kube-controller-manager
5.33%,5.29%,0.00%,18.68%,5.21%,0.69%,0.00%,0.07%,0.24%,0.00%,0.25%,0.34%,0.42%,0.52%,7.29%,0.08%,3.21%,0.00%,0.12%,9.09%,3.47%,1.75%
8.21%,9.03%,0.16%,17.11%,9.37%,0.16%,0.00%,0.06%,0.07%,0.00%,0.00%,0.21%,0.58%,0.38%,14.71%,15.87%,4.14%,0.02%,0.17%,15.13%,1.72%,1.13%
13.12%,9.62%,13.04%,17.11%,19.94%,0.08%,0.00%,2.47%,0.06%,0.00%,0.05%,2.33%,0.75%,0.35%,20.70%,19.87%,5.94%,0.44%,0.48%,7.34%,2.90%,2.42%
16.74%,15.35%,17.71%,18.60%,20.48%,0.00%,0.00%,2.50%,0.20%,0.00%,0.00%,0.47%,0.69%,0.53%,19.74%,11.26%,5.80%,0.01%,0.15%,7.07%,1.55%,1.50%
17.26%,8.29%,17.77%,14.18%,20.06%,0.02%,0.00%,2.00%,0.25%,3.81%,0.00%,4.38%,0.79%,0.56%,19.58%,20.39%,6.26%,0.02%,0.81%,5.87%,1.70%,1.87%
17.36%,8.58%,17.53%,18.35%,20.09%,0.68%,0.00%,2.31%,0.06%,0.00%,0.26%,0.07%,0.90%,0.68%,18.93%,13.31%,7.44%,0.00%,0.13%,8.57%,3.56%,2.98%
20.02%,8.82%,17.91%,18.69%,20.77%,0.00%,4.09%,0.06%,0.28%,0.00%,0.00%,0.27%,0.85%,0.97%,17.98%,18.35%,7.00%,0.01%,0.16%,6.92%,2.36%,3.41%
18.92%,11.57%,18.86%,13.10%,20.94%,6.28%,0.00%,0.05%,0.28%,0.00%,0.25%,0.27%,0.76%,1.00%,18.45%,17.05%,7.33%,0.00%,0.14%,19.77%,3.55%,2.76%
19.93%,29.50%,21.29%,5.60%,19.55%,0.25%,0.00%,0.05%,0.08%,0.01%,0.05%,0.01%,0.61%,0.61%,16.82%,14.73%,6.09%,0.00%,0.17%,5.88%,1.88%,3.48%
18.82%,9.69%,13.35%,15.95%,18.95%,0.01%,0.00%,1.70%,0.26%,1.79%,0.00%,0.00%,0.73%,0.93%,17.47%,17.39%,6.88%,0.83%,0.56%,6.27%,1.81%,2.14%
21.12%,6.06%,13.49%,14.61%,20.90%,0.00%,0.00%,2.09%,0.19%,0.00%,0.00%,0.36%,0.63%,0.67%,17.46%,16.39%,5.66%,0.03%,0.18%,7.20%,2.30%,2.06%
19.84%,6.37%,15.79%,13.62%,20.18%,0.07%,2.41%,0.05%,0.05%,0.00%,0.00%,2.21%,0.65%,1.23%,18.80%,16.23%,7.31%,0.01%,0.16%,4.50%,1.34%,3.99%
20.68%,9.71%,15.84%,16.75%,20.39%,0.71%,0.00%,0.05%,0.21%,0.00%,0.25%,0.22%,0.52%,0.84%,19.11%,13.83%,7.17%,0.00%,0.16%,10.91%,3.75%,2.73%
20.10%,2.96%,16.10%,9.91%,20.11%,0.13%,0.00%,0.06%,0.06%,0.01%,0.02%,0.09%,0.36%,0.50%,19.47%,16.07%,9.05%,0.01%,0.22%,8.45%,1.71%,2.51%
19.95%,2.29%,13.41%,17.29%,21.07%,1.98%,0.00%,0.07%,0.06%,0.02%,0.25%,0.08%,0.41%,1.04%,19.00%,16.21%,6.74%,0.00%,0.14%,8.90%,5.91%,3.78%
0.00%,0.10%,0.14%,0.12%,0.06%,0.06%,2.40%,0.05%,0.07%,0.00%,0.00%,0.00%,0.12%,0.12%,1.53%,0.00%,2.73%,0.00%,0.24%,4.74%,1.62%,1.19%
